﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0QB71BDzh36guAExsTIgNO","Only Love","Ben Howard","Every Kingdom","1","5","249173","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1vG6jMgSoqT3zG9tuDrL2E","Spirit Cold","Tall Heights","Neptune","1","2","222293","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1WXVfFRD89EtVURD4Tbixo","The Breach","Dustin Tebbutt","The Breach EP","1","1","253848","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1OwHOfTeJkdRhdqq93y2XV","Need The Sun To Break","James Bay","Chaos And The Calm","1","11","224813","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:5MMZJtHOiH1RmQSSe3DJdg","Sleep On The Floor","The Lumineers","Cleopatra","1","1","211851","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:4HLnKxeTmOuyD81L4lX3t7","Nervous","Gavin James","Bitter Pill","1","2","216133","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6j7oqmFB8mlCfmakwfQU1A","The Fire","Kina Grannis","Elements","1","2","172506","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:29jtZGdgpE2lWm2mkIt6HS","Mess Is Mine","Vance Joy","Dream Your Life Away (Special Editon)","1","2","223640","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2RmH5VLkfdILc6wTK1LWkH","Heavy","Birdtalker","Heavy","1","1","264150","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6FOyzhp375u8DapDyQqGTh","Tiger Striped Sky","Roo Panes","Little Giant","1","6","241720","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:10D6VJLgBNPJLDCGJH8NKM","Somebody's Love - Single Version","Passenger","Somebody's Love","1","1","225413","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:7hGeRC8nVfXI4a9sC8x8N7","Arizona","Frances Cone","Arizona","1","1","199742","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3qhobDAfBcVoOWZP8Ck8R2","Ophelia","The Lumineers","Ophelia","1","1","160097","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1rLQ2urNw6eAhGxggX8Kku","Morning - Audiotree Live Version","William Wild","William Wild on Audiotree Live","1","3","268125","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:58Qol5xzalwqF912GE9vQv","Barcelona","George Ezra","Wanted On Voyage","1","4","188960","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2XRCxFtPqSsnY94jZCFuYu","From Eden","Hozier","Hozier","1","6","283466","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0XHRg1fJGPNgMLPsvolLj1","HAPPINESS - Acoustic","NEEDTOBREATHE","HAPPINESS (Acoustic)","1","1","222966","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:359lSGQwvAM3aZA5UNwqiQ","If You Ever Wanna Be In Love - James Bay Spotify Session 2015","James Bay","James Bay Spotify Session 2015","1","3","236786","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2Sqv9Ne6ibOZsKxY7o0t6t","All The Pretty Girls - Recorded at Spotify Studios NYC","Kaleo","Spotify Singles","1","1","307172","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:1d4QAtlNQCnMARsacnkoyC","Sweet Love of Mine (Acoustic)","Joy Williams","Venus (Acoustic)","1","4","175120","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3pLTOP0G0etiWUknFoRpsr","The Cave","Mumford & Sons","Sigh No More","1","2","217986","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:6668ZaUUXqZ25Tb0DMr2HO","When You Love Someone - Acoustic","James TW","When You Love Someone (Acoustic)","1","1","210106","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:3inSmIa388icRdpDi5ecJd","Way Down We Go - Recorded at Spotify Studios NYC","Kaleo","Spotify Singles","1","2","193297","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:2PfnAaQIMwHPvmda8MG5jm","Slow And Steady","Of Monsters and Men","My Head Is An Animal","1","4","301613","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0H1iykZgTGLQ7UzqTakG7k","On the Run","Corey Harper","On the Run","1","1","206637","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:4gFakkHz0RjUrbf9Ufilb7","Into The Sun - EP Version","Sons Of The East","Already Gone","1","3","300499","spotify:user:spotify","2016-11-18T06:03:13Z"
"spotify:track:0ZNYGrmcehorhh9JOeg5Iv","Stay Alive","José González","Stay Alive (From The Secret Life Of Walter Mitty)","1","1","266906","spotify:user:spotify","2016-11-18T06:03:13Z"
